0.800079,0.159979,0.031970,0.006380,0.001270,0.000251,0.000049,0.000010,0.000002,0.000000
0.799925,0.160009,0.032023,0.006428,0.001291,0.000258,0.000053,0.000011,0.000002,0.000000
0.799287,0.160211,0.032224,0.006548,0.001357,0.000293,0.000066,0.000015,0.000004,0.000001
0.797616,0.160578,0.032878,0.007011,0.001575,0.000398,0.000109,0.000032,0.000008,0.000002
0.793208,0.160982,0.034011,0.008070,0.002134,0.000681,0.000221,0.000078,0.000025,0.000007
0.785132,0.161499,0.036535,0.009967,0.003310,0.001314,0.000491,0.000191,0.000065,0.000020
0.770758,0.163359,0.041195,0.013753,0.005843,0.002481,0.001026,0.000442,0.000177,0.000053
0.748737,0.165383,0.046964,0.018965,0.009339,0.004676,0.002109,0.000958,0.000372,0.000123
0.719050,0.170187,0.057566,0.026440,0.015200,0.008092,0.004220,0.001910,0.000799,0.000247
0.684619,0.167592,0.067738,0.036225,0.021891,0.012573,0.006555,0.002988,0.001248,0.000408
