0.503343,0.251213,0.124996,0.061912,0.030478,0.014891,0.007216,0.003473,0.001668,0.000809
0.502426,0.250908,0.125046,0.062128,0.030738,0.015129,0.007404,0.003607,0.001755,0.000859
0.499983,0.250091,0.125172,0.062698,0.031429,0.015765,0.007909,0.003967,0.001989,0.000996
0.495297,0.248511,0.125395,0.063775,0.032751,0.016990,0.008891,0.004673,0.002450,0.001266
0.487650,0.245905,0.125717,0.065501,0.034897,0.019003,0.010518,0.005856,0.003228,0.001724
0.476515,0.242063,0.126117,0.067961,0.038005,0.021953,0.012933,0.007628,0.004404,0.002420
0.461855,0.236941,0.126550,0.071125,0.042074,0.025866,0.016172,0.010030,0.006012,0.003376
0.444561,0.230829,0.126955,0.074775,0.046846,0.030512,0.020060,0.012940,0.007974,0.004548
0.427070,0.224590,0.127279,0.078399,0.051651,0.035235,0.024048,0.015947,0.010012,0.005769
0.414198,0.219971,0.127476,0.081032,0.055176,0.038723,0.027009,0.018190,0.011538,0.006686
