0.546832,0.248353,0.112624,0.050951,0.022971,0.010310,0.004603,0.002046,0.000907,0.000404
0.546376,0.248228,0.112672,0.051068,0.023097,0.010417,0.004683,0.002099,0.000939,0.000422
0.545099,0.247878,0.112805,0.051393,0.023449,0.010717,0.004907,0.002249,0.001031,0.000472
0.542524,0.247167,0.113064,0.052044,0.024159,0.011327,0.005364,0.002558,0.001220,0.000575
0.538102,0.245933,0.113493,0.053149,0.025375,0.012380,0.006159,0.003099,0.001553,0.000757
0.531324,0.244018,0.114119,0.054822,0.027236,0.014006,0.007399,0.003950,0.002080,0.001046
0.521928,0.241333,0.114943,0.057111,0.029811,0.016277,0.009145,0.005157,0.002834,0.001462
0.510262,0.237962,0.115916,0.059918,0.033001,0.019116,0.011346,0.006690,0.003796,0.001994
0.497852,0.234344,0.116907,0.062874,0.036389,0.022152,0.013715,0.008350,0.004842,0.002574
0.488254,0.231531,0.117652,0.065144,0.039007,0.024508,0.015562,0.009649,0.005663,0.003030
